method,split,threshold_type,val_selection_score,threshold,accuracy,precision,recall,f1,confusion_matrix,roc_auc,pr_auc
isotonic,val,val_f1_tuned,0.489347966429455,0.30357142857142855,0.9466873357147672,0.4980289093298292,0.48096446700507617,0.4893479664299548,"[[13667, 382], [409, 379]]",0.8828906658457545,0.4555227041009883
isotonic,val,val_precision_0.45_floor,0.48096446700507617,0.30357142857142855,0.9466873357147672,0.4980289093298292,0.48096446700507617,0.4893479664299548,"[[13667, 382], [409, 379]]",0.8828906658457545,0.4555227041009883
raw_ensemble,val,val_precision_0.45_floor,0.5088832487309645,0.5528316259384155,0.9409584147738761,0.45056179775280897,0.5088832487309645,0.47794994040524436,"[[13560, 489], [387, 401]]",0.8800781745399442,0.46705064194558993
platt,val,val_precision_0.45_floor,0.5088832487309645,0.22261326502503273,0.9409584147738761,0.45056179775280897,0.5088832487309645,0.47794994040524436,"[[13560, 489], [387, 401]]",0.8800781293753226,0.4670506278734658
raw_ensemble,val,default_0.5,,0.5,0.9342859068544854,0.4117091595845137,0.5532994923857868,0.47211694639956686,"[[13426, 623], [352, 436]]",0.8800781745399442,0.46705064194558993
raw_ensemble,val,val_recall_0.55_floor,0.41232227488151657,0.5013077259063721,0.9344207049942711,0.41232227488151657,0.5520304568527918,0.47205642973412915,"[[13429, 620], [353, 435]]",0.8800781745399442,0.46705064194558993
platt,val,val_recall_0.55_floor,0.41232227488151657,0.17630490923286646,0.9344207049942711,0.41232227488151657,0.5520304568527918,0.47205642973412915,"[[13429, 620], [353, 435]]",0.8800781293753226,0.4670506278734658
isotonic,val,val_recall_0.55_floor,0.38971807628524047,0.20449438202247192,0.9289613803329514,0.38971807628524047,0.5964467005076142,0.47141424272818455,"[[13313, 736], [318, 470]]",0.8828906658457545,0.4555227041009883
raw_ensemble,val,val_f0.5_tuned,0.5405405405394651,0.747980272769928,0.9544382287524432,0.6296296296296297,0.34517766497461927,0.4459016393442623,"[[13889, 160], [516, 272]]",0.8800781745399442,0.46705064194558993
platt,val,val_f0.5_tuned,0.5405405405394651,0.46306432384130214,0.9544382287524432,0.6296296296296297,0.34517766497461927,0.4459016393442623,"[[13889, 160], [516, 272]]",0.8800781293753226,0.4670506278734658
isotonic,val,val_f0.5_tuned,0.5405405405394651,0.4716981132075472,0.9544382287524432,0.6296296296296297,0.34517766497461927,0.4459016393442623,"[[13889, 160], [516, 272]]",0.8828906658457545,0.4555227041009883
raw_ensemble,val,val_f2_tuned,0.5435244161356043,0.35429886281490325,0.9108984296016714,0.3286264441591784,0.649746192893401,0.43648763853367434,"[[13003, 1046], [276, 512]]",0.8800781745399442,0.46705064194558993
platt,val,val_f2_tuned,0.5435244161356043,0.0853243190909397,0.9108984296016714,0.3286264441591784,0.649746192893401,0.43648763853367434,"[[13003, 1046], [276, 512]]",0.8800781293753226,0.4670506278734658
isotonic,val,val_f2_tuned,0.5435244161356043,0.11206896551724138,0.9108984296016714,0.3286264441591784,0.649746192893401,0.43648763853367434,"[[13003, 1046], [276, 512]]",0.8828906658457545,0.4555227041009883
platt,val,default_0.5,,0.5,0.954101233402979,0.6419098143236074,0.30710659898477155,0.41545064377682406,"[[13914, 135], [546, 242]]",0.8800781293753226,0.4670506278734658
isotonic,val,default_0.5,,0.5,0.9548426231718002,0.6809815950920245,0.2817258883248731,0.3985637342908438,"[[13945, 104], [566, 222]]",0.8828906658457545,0.4555227041009883
